item_id,category
I215,Music
I216,Fashion
I217,Movies
I218,Gaming
I219,Sports
I220,Movies
I221,Music
I222,Fashion
I223,Education
I224,Music
I225,Technology
I226,Music
I227,Gaming
I228,Fashion
I229,Music
I230,Gaming
I231,Gaming
I232,Fashion
I233,Music
I234,Music
I235,Sports
I236,Movies
I237,Sports
I238,Music
I239,Education
I240,Music
I241,Technology
I242,Gaming
I243,Food
I244,Music
I245,Technology
I246,Technology
I247,Movies
I248,Fashion
I249,Music
I250,Fashion
I251,Education
I252,Food
I253,Technology
I254,Gaming
I255,Gaming
I256,Fashion
I257,Technology
I258,Movies
I259,Fashion
I260,Food
I261,Fashion
I262,Technology
I263,Music
I264,Movies
I265,Technology
I266,Movies
I267,Sports
I268,Sports
I269,Gaming
I270,Movies
I271,Food
I272,Fashion
I273,Sports
I274,Fashion
I275,Fashion
I276,Food
I277,Technology
I278,Fashion
I279,Movies
I280,Food
I281,Sports
I282,Music
I283,Fashion
I284,Gaming
I285,Food
I286,Technology
I287,Education
I288,Sports
I289,Sports
I290,Education
I291,Movies
I292,Music
I293,Sports
I294,Sports
I295,Technology
I296,Sports
I297,Food
I298,Movies
I299,Music
I300,Gaming
I301,Music
I302,Movies
I303,Food
I304,Movies
I305,Technology
I306,Gaming
I307,Music
I308,Fashion
I309,Music
I310,Technology
I311,Gaming
I312,Food
I313,Movies
I314,Movies
I315,Food
I316,Gaming
I317,Food
I318,Sports
I319,Music
I320,Technology
I321,Food
I322,Technology
I323,Sports
I324,Movies
I325,Food
I326,Gaming
I327,Movies
I328,Movies
I329,Gaming
I330,Music
I331,Music
I332,Food
I333,Movies
I334,Food
I335,Music
I336,Fashion
I337,Sports
I338,Food
I339,Food
I340,Fashion
I341,Music
I342,Food
I343,Technology
I344,Music
I345,Music
I346,Sports
I347,Food
I348,Movies
I349,Education
I350,Education
I351,Education
I352,Sports
I353,Education
I354,Fashion
I355,Gaming
I356,Music
I357,Movies
I358,Gaming
I359,Sports
I360,Music
I361,Sports
I362,Sports
I363,Fashion
I364,Technology
I365,Technology
I366,Sports
I367,Education
I368,Gaming
I369,Education
I370,Food
I371,Sports
I372,Food
I373,Education
I374,Food
I375,Sports
I376,Fashion
I377,Technology
I378,Gaming
I379,Food
I380,Sports
I381,Fashion
I382,Education
I383,Technology
I384,Sports
I385,Gaming
I386,Education
I387,Fashion
I388,Education
I389,Movies
I390,Education
I391,Food
I392,Education
I393,Fashion
I394,Education
I395,Education
I396,Music
I397,Sports
I398,Music
I399,Education
I400,Sports
I401,Music
I402,Education
I403,Gaming
I404,Music
I405,Sports
I406,Music
I407,Movies
I408,Movies
I409,Gaming
I410,Fashion
I411,Fashion
I412,Sports
I413,Food
I414,Fashion
I415,Sports
I416,Gaming
I417,Food
I418,Food
I419,Movies
I420,Education
I421,Food
I422,Technology
I423,Sports
I424,Food
I425,Food
I426,Technology
I427,Food
I428,Education
I429,Technology
I430,Movies
I431,Music
I432,Food
I433,Food
I434,Sports
I435,Education
I436,Sports
I437,Music
I438,Food
I439,Education
I440,Technology
I441,Food
I442,Movies
I443,Food
I444,Fashion
I445,Education
I446,Fashion
I447,Technology
I448,Food
I449,Technology
I450,Gaming
I451,Food
I452,Fashion
I453,Education
I454,Fashion
I455,Technology
I456,Music
I457,Food
I458,Movies
I459,Sports
I460,Education
I461,Movies
I462,Movies
I463,Food
I464,Music
I465,Food
I466,Music
I467,Gaming
I468,Education
I469,Technology
I470,Technology
I471,Movies
I472,Sports
I473,Gaming
I474,Technology
I475,Technology
I476,Sports
I477,Sports
I478,Technology
I479,Fashion
I480,Sports
I481,Fashion
I482,Education
I483,Gaming
I484,Sports
I485,Education
I486,Music
I487,Movies
I488,Fashion
I489,Gaming
I490,Fashion
I491,Music
I492,Gaming
I493,Technology
I494,Music
I495,Food
I496,Food
I497,Sports
I498,Gaming
I499,Sports
