comment_id,user_id,item_id,text,timestamp,normalized_text,spam_probability,spam,text_frequency,duplicate,comment_risk_score
C52,U179,I240,This was a surprisingly interesting post. Reference 52,2026-07-17 12:20:31.777631,this was a surprisingly interesting post reference 52,0.0,0,1,0,0.0
C53,U185,I299,The information presented here is useful. Reference 53,2026-08-03 12:39:31.777645,the information presented here is useful reference 53,0.0,0,1,0,0.0
C54,U481,I178,The information presented here is useful. Reference 54,2026-07-13 14:37:31.777661,the information presented here is useful reference 54,0.0,0,1,0,0.0
C55,U686,I53,I learned something useful about music here. Reference 55,2026-07-05 08:43:31.777676,i learned something useful about music here reference 55,0.0,0,1,0,0.0
C56,U710,I253,I have a different opinion about fashion. Reference 56,2026-06-03 14:38:31.777691,i have a different opinion about fashion reference 56,0.0,0,1,0,0.0
C57,U563,I18,I think this could be improved. Reference 57,2026-07-14 04:54:31.777705,i think this could be improved reference 57,0.0,0,1,0,0.0
C58,U258,I165,This is an interesting perspective on fashion. Reference 58,2026-06-25 23:49:31.777719,this is an interesting perspective on fashion reference 58,0.0,0,1,0,0.0
C59,U844,I0,This was a surprisingly interesting post. Reference 59,2026-07-05 05:13:31.777733,this was a surprisingly interesting post reference 59,0.0,0,1,0,0.0
C60,U55,I96,This was a surprisingly interesting post. Reference 60,2026-06-16 03:49:31.777747,this was a surprisingly interesting post reference 60,0.0,0,1,0,0.0
C61,U774,I255,I think this could be improved. Reference 61,2026-07-24 07:18:31.777760,i think this could be improved reference 61,0.0,0,1,0,0.0
C62,U273,I281,I learned something useful about movies here. Reference 62,2026-07-02 22:54:31.777774,i learned something useful about movies here reference 62,0.0,0,1,0,0.0
C63,U901,I357,I think this could be improved. Reference 63,2026-08-09 04:55:31.777788,i think this could be improved reference 63,0.0,0,1,0,0.0
C64,U996,I322,Thanks for sharing this information. Reference 64,2026-06-08 05:26:31.777802,thanks for sharing this information reference 64,0.0,0,1,0,0.0
C65,U162,I159,This was a surprisingly interesting post. Reference 65,2026-06-22 13:34:31.777816,this was a surprisingly interesting post reference 65,0.0,0,1,0,0.0
C66,U417,I47,The explanation of gaming was very clear. Reference 66,2026-06-30 19:56:31.777830,the explanation of gaming was very clear reference 66,0.0,0,1,0,0.0
C67,U969,I60,I learned something useful about food here. Reference 67,2026-06-07 14:32:31.777844,i learned something useful about food here reference 67,0.0,0,1,0,0.0
C68,U298,I260,I have a different opinion about fashion. Reference 68,2026-06-28 21:56:31.777858,i have a different opinion about fashion reference 68,0.0,0,1,0,0.0
C69,U483,I124,Amazing product buy now,2026-07-07 22:01:31.777874,amazing product buy now,1.0,1,69,1,100.0
C70,U195,I471,Thanks for sharing this information. Reference 70,2026-08-05 11:28:31.777888,thanks for sharing this information reference 70,0.0,0,1,0,0.0
C71,U282,I395,The information presented here is useful. Reference 71,2026-06-26 14:48:31.777908,the information presented here is useful reference 71,0.0,0,1,0,0.0
C72,U273,I420,I really enjoyed this post about movies. Reference 72,2026-06-06 17:54:31.777922,i really enjoyed this post about movies reference 72,0.0,0,1,0,0.0
C73,U305,I428,Thanks for sharing this information. Reference 73,2026-07-29 07:22:31.777936,thanks for sharing this information reference 73,0.0,0,1,0,0.0
C74,U457,I275,I think this could be improved. Reference 74,2026-07-12 13:45:31.777950,i think this could be improved reference 74,0.0,0,1,0,0.0
C75,U565,I390,This was a surprisingly interesting post. Reference 75,2026-07-01 09:16:31.777964,this was a surprisingly interesting post reference 75,0.0,0,1,0,0.0
C76,U955,I164,The explanation of sports was very clear. Reference 76,2026-06-20 18:52:31.777979,the explanation of sports was very clear reference 76,0.0,0,1,0,0.0
C77,U392,I119,The information presented here is useful. Reference 77,2026-07-13 20:54:31.777994,the information presented here is useful reference 77,0.0,0,1,0,0.0
C78,U762,I242,The information presented here is useful. Reference 78,2026-06-12 10:07:31.778008,the information presented here is useful reference 78,0.0,0,1,0,0.0
C79,U811,I420,I learned something useful about food here. Reference 79,2026-08-08 11:06:31.778023,i learned something useful about food here reference 79,0.0,0,1,0,0.0
C80,U129,I257,Thanks for sharing this information. Reference 80,2026-08-02 16:44:31.778037,thanks for sharing this information reference 80,0.0,0,1,0,0.0
C81,U895,I432,I think this could be improved. Reference 81,2026-06-24 23:01:31.778051,i think this could be improved reference 81,0.0,0,1,0,0.0
C82,U932,I233,I really enjoyed this post about education. Reference 82,2026-07-05 12:22:31.778065,i really enjoyed this post about education reference 82,0.0,0,1,0,0.0
C83,U891,I335,I learned something useful about gaming here. Reference 83,2026-06-30 02:21:31.778082,i learned something useful about gaming here reference 83,0.0,0,1,0,0.0
C84,U800,I496,I have a different opinion about music. Reference 84,2026-06-16 02:27:31.778096,i have a different opinion about music reference 84,0.0,0,1,0,0.0
C85,U709,I203,This is an interesting perspective on music. Reference 85,2026-06-11 10:49:31.778111,this is an interesting perspective on music reference 85,0.0,0,1,0,0.0
C86,U879,I273,The information presented here is useful. Reference 86,2026-06-15 18:43:31.778125,the information presented here is useful reference 86,0.0,0,1,0,0.0
C87,U735,I454,I think this could be improved. Reference 87,2026-06-16 15:07:31.778139,i think this could be improved reference 87,0.0,0,1,0,0.0
C88,U70,I120,I have a different opinion about sports. Reference 88,2026-06-04 20:38:31.778154,i have a different opinion about sports reference 88,0.0,0,1,0,0.0
C89,U92,I222,This is an interesting perspective on gaming. Reference 89,2026-07-02 10:45:31.778168,this is an interesting perspective on gaming reference 89,0.0,0,1,0,0.0
C90,U170,I355,I have a different opinion about technology. Reference 90,2026-08-07 15:30:31.778182,i have a different opinion about technology reference 90,0.0,0,1,0,0.0
C91,U332,I407,I really enjoyed this post about movies. Reference 91,2026-07-10 04:54:31.778198,i really enjoyed this post about movies reference 91,0.0,0,1,0,0.0
C92,U383,I220,I learned something useful about sports here. Reference 92,2026-06-24 11:37:31.778213,i learned something useful about sports here reference 92,0.0,0,1,0,0.0
C93,U421,I289,I learned something useful about education here. Reference 93,2026-07-26 21:32:31.778228,i learned something useful about education here reference 93,0.0,0,1,0,0.0
C94,U80,I312,The information presented here is useful. Reference 94,2026-06-27 12:48:31.778242,the information presented here is useful reference 94,0.0,0,1,0,0.0
C95,U934,I298,I learned something useful about sports here. Reference 95,2026-06-30 20:35:31.778256,i learned something useful about sports here reference 95,0.0,0,1,0,0.0
C96,U653,I130,Click here for amazing deals,2026-06-12 03:14:31.778270,click here for amazing deals,0.5,1,53,1,72.50000000000001
C97,U9,I460,I think this could be improved. Reference 97,2026-06-11 03:43:31.778284,i think this could be improved reference 97,0.0,0,1,0,0.0
C98,U559,I80,This is an interesting perspective on food. Reference 98,2026-07-11 09:05:31.778297,this is an interesting perspective on food reference 98,0.0,0,1,0,0.0
C99,U601,I153,The information presented here is useful. Reference 99,2026-07-01 06:00:31.778312,the information presented here is useful reference 99,0.0,0,1,0,0.0
C100,U865,I154,The explanation of fashion was very clear. Reference 100,2026-06-28 20:23:31.778328,the explanation of fashion was very clear reference 100,0.0,0,1,0,0.0
C101,U109,I121,The information presented here is useful. Reference 101,2026-06-20 12:17:31.778341,the information presented here is useful reference 101,0.0,0,1,0,0.0
C102,U302,I358,I have a different opinion about technology. Reference 102,2026-06-12 22:03:31.778356,i have a different opinion about technology reference 102,0.0,0,1,0,0.0
C103,U405,I140,I really enjoyed this post about technology. Reference 103,2026-06-17 15:16:31.778373,i really enjoyed this post about technology reference 103,0.0,0,1,0,0.0
C104,U763,I254,I have a different opinion about sports. Reference 104,2026-06-17 13:49:31.778389,i have a different opinion about sports reference 104,0.0,0,1,0,0.0
C105,U821,I180,The explanation of sports was very clear. Reference 105,2026-06-16 07:37:31.778404,the explanation of sports was very clear reference 105,0.0,0,1,0,0.0
C106,U256,I347,I learned something useful about gaming here. Reference 106,2026-06-15 17:16:31.778419,i learned something useful about gaming here reference 106,0.0,0,1,0,0.0
C107,U661,I20,I have a different opinion about food. Reference 107,2026-08-08 19:05:31.778433,i have a different opinion about food reference 107,0.0,0,1,0,0.0
C108,U593,I186,I learned something useful about gaming here. Reference 108,2026-07-15 23:18:31.778448,i learned something useful about gaming here reference 108,0.0,0,1,0,0.0
C109,U334,I382,The information presented here is useful. Reference 109,2026-07-24 13:20:31.778464,the information presented here is useful reference 109,0.0,0,1,0,0.0
C110,U135,I402,This was a surprisingly interesting post. Reference 110,2026-06-24 12:19:31.778479,this was a surprisingly interesting post reference 110,0.0,0,1,0,0.0
C111,U513,I467,I have a different opinion about education. Reference 111,2026-07-19 10:37:31.778496,i have a different opinion about education reference 111,0.0,0,1,0,0.0
C112,U935,I422,I think this could be improved. Reference 112,2026-06-04 21:05:31.778512,i think this could be improved reference 112,0.0,0,1,0,0.0
C113,U891,I173,This is an interesting perspective on food. Reference 113,2026-08-04 23:29:31.778526,this is an interesting perspective on food reference 113,0.0,0,1,0,0.0
C114,U144,I386,The explanation of fashion was very clear. Reference 114,2026-06-22 02:30:31.778541,the explanation of fashion was very clear reference 114,0.0,0,1,0,0.0
C115,U374,I46,The information presented here is useful. Reference 115,2026-07-18 18:15:31.778555,the information presented here is useful reference 115,0.0,0,1,0,0.0
C116,U549,I63,I think this could be improved. Reference 116,2026-06-11 14:10:31.778569,i think this could be improved reference 116,0.0,0,1,0,0.0
C117,U766,I344,I have a different opinion about fashion. Reference 117,2026-06-14 17:03:31.778583,i have a different opinion about fashion reference 117,0.0,0,1,0,0.0
C118,U962,I190,This is an interesting perspective on sports. Reference 118,2026-06-29 22:01:31.778597,this is an interesting perspective on sports reference 118,0.0,0,1,0,0.0
C119,U25,I317,This was a surprisingly interesting post. Reference 119,2026-06-17 07:14:31.778611,this was a surprisingly interesting post reference 119,0.0,0,1,0,0.0
C120,U226,I331,This is an interesting perspective on food. Reference 120,2026-06-09 00:27:31.778626,this is an interesting perspective on food reference 120,0.0,0,1,0,0.0
C121,U309,I332,The information presented here is useful. Reference 121,2026-07-30 02:38:31.778640,the information presented here is useful reference 121,0.0,0,1,0,0.0
C122,U46,I484,I really enjoyed this post about movies. Reference 122,2026-06-27 23:49:31.778654,i really enjoyed this post about movies reference 122,0.0,0,1,0,0.0
C123,U118,I49,The explanation of education was very clear. Reference 123,2026-07-07 10:58:31.778668,the explanation of education was very clear reference 123,0.0,0,1,0,0.0
C124,U464,I189,This was a surprisingly interesting post. Reference 124,2026-06-19 08:55:31.778682,this was a surprisingly interesting post reference 124,0.0,0,1,0,0.0
C125,U760,I372,I learned something useful about fashion here. Reference 125,2026-06-13 05:17:31.778696,i learned something useful about fashion here reference 125,0.0,0,1,0,0.0
C126,U101,I426,I think this could be improved. Reference 126,2026-07-17 08:52:31.778710,i think this could be improved reference 126,0.0,0,1,0,0.0
C127,U33,I353,This is worth discussing further. Reference 127,2026-07-02 11:23:31.778724,this is worth discussing further reference 127,0.0,0,1,0,0.0
C128,U455,I486,The explanation of music was very clear. Reference 128,2026-08-02 18:56:31.778738,the explanation of music was very clear reference 128,0.0,0,1,0,0.0
C129,U702,I188,This was a surprisingly interesting post. Reference 129,2026-08-06 07:42:31.778753,this was a surprisingly interesting post reference 129,0.0,0,1,0,0.0
C130,U407,I141,The explanation of gaming was very clear. Reference 130,2026-07-01 10:38:31.778767,the explanation of gaming was very clear reference 130,0.0,0,1,0,0.0
C131,U93,I339,The explanation of technology was very clear. Reference 131,2026-08-07 05:29:31.778782,the explanation of technology was very clear reference 131,0.0,0,1,0,0.0
C132,U805,I170,The explanation of education was very clear. Reference 132,2026-06-21 10:38:31.778796,the explanation of education was very clear reference 132,0.0,0,1,0,0.0
C133,U210,I35,This was a surprisingly interesting post. Reference 133,2026-06-19 11:00:31.778810,this was a surprisingly interesting post reference 133,0.0,0,1,0,0.0
C134,U221,I416,The explanation of music was very clear. Reference 134,2026-07-29 09:38:31.778827,the explanation of music was very clear reference 134,0.0,0,1,0,0.0
C135,U807,I461,Thanks for sharing this information. Reference 135,2026-07-17 14:16:31.778843,thanks for sharing this information reference 135,0.0,0,1,0,0.0
C136,U879,I74,I learned something useful about movies here. Reference 136,2026-07-26 22:47:31.778858,i learned something useful about movies here reference 136,0.0,0,1,0,0.0
C137,U112,I338,I really enjoyed this post about education. Reference 137,2026-08-10 11:31:31.778872,i really enjoyed this post about education reference 137,0.0,0,1,0,0.0
C138,U366,I404,The explanation of music was very clear. Reference 138,2026-08-10 09:30:31.778886,the explanation of music was very clear reference 138,0.0,0,1,0,0.0
C139,U178,I135,I really enjoyed this post about education. Reference 139,2026-06-05 07:40:31.778903,i really enjoyed this post about education reference 139,0.0,0,1,0,0.0
C140,U431,I269,This is an interesting perspective on gaming. Reference 140,2026-06-29 11:36:31.778924,this is an interesting perspective on gaming reference 140,0.0,0,1,0,0.0
C141,U459,I398,This is worth discussing further. Reference 141,2026-07-01 16:33:31.778939,this is worth discussing further reference 141,0.0,0,1,0,0.0
C142,U515,I113,Thanks for sharing this information. Reference 142,2026-06-06 15:17:31.778953,thanks for sharing this information reference 142,0.0,0,1,0,0.0
C143,U802,I465,You must buy this product,2026-07-01 03:22:31.778967,you must buy this product,0.0,0,51,1,45.0
C144,U658,I493,I really enjoyed this post about technology. Reference 144,2026-06-29 05:37:31.778981,i really enjoyed this post about technology reference 144,0.0,0,1,0,0.0
C145,U867,I205,The information presented here is useful. Reference 145,2026-06-28 04:58:31.778995,the information presented here is useful reference 145,0.0,0,1,0,0.0
C146,U729,I465,I think this could be improved. Reference 146,2026-08-04 11:29:31.779009,i think this could be improved reference 146,0.0,0,1,0,0.0
C147,U329,I311,I learned something useful about gaming here. Reference 147,2026-07-31 08:18:31.779023,i learned something useful about gaming here reference 147,0.0,0,1,0,0.0
C148,U281,I319,Thanks for sharing this information. Reference 148,2026-07-08 03:53:31.779037,thanks for sharing this information reference 148,0.0,0,1,0,0.0
C149,U611,I271,I have a different opinion about food. Reference 149,2026-06-26 19:35:31.779052,i have a different opinion about food reference 149,0.0,0,1,0,0.0
C150,U619,I220,This is an interesting perspective on gaming. Reference 150,2026-06-13 05:44:31.779066,this is an interesting perspective on gaming reference 150,0.0,0,1,0,0.0
C151,U666,I449,This was a surprisingly interesting post. Reference 151,2026-07-03 16:28:31.779080,this was a surprisingly interesting post reference 151,0.0,0,1,0,0.0
C152,U462,I454,The explanation of fashion was very clear. Reference 152,2026-07-11 23:34:31.779094,the explanation of fashion was very clear reference 152,0.0,0,1,0,0.0
C153,U847,I232,The information presented here is useful. Reference 153,2026-06-06 10:07:31.779108,the information presented here is useful reference 153,0.0,0,1,0,0.0
C154,U97,I160,The information presented here is useful. Reference 154,2026-06-12 07:01:31.779122,the information presented here is useful reference 154,0.0,0,1,0,0.0
C155,U261,I191,I learned something useful about food here. Reference 155,2026-08-05 17:19:31.779138,i learned something useful about food here reference 155,0.0,0,1,0,0.0
C156,U93,I425,This is an interesting perspective on gaming. Reference 156,2026-07-03 12:32:31.779152,this is an interesting perspective on gaming reference 156,0.0,0,1,0,0.0
C157,U98,I381,This is worth discussing further. Reference 157,2026-06-22 04:34:31.779166,this is worth discussing further reference 157,0.0,0,1,0,0.0
C158,U61,I300,This was a surprisingly interesting post. Reference 158,2026-06-11 20:19:31.779180,this was a surprisingly interesting post reference 158,0.0,0,1,0,0.0
C159,U125,I210,This is worth discussing further. Reference 159,2026-06-07 04:48:31.779194,this is worth discussing further reference 159,0.0,0,1,0,0.0
C160,U52,I495,I have a different opinion about movies. Reference 160,2026-07-10 19:48:31.779208,i have a different opinion about movies reference 160,0.0,0,1,0,0.0
C161,U106,I295,This was a surprisingly interesting post. Reference 161,2026-07-28 17:58:31.779222,this was a surprisingly interesting post reference 161,0.0,0,1,0,0.0
C162,U672,I246,The explanation of gaming was very clear. Reference 162,2026-07-10 23:08:31.779236,the explanation of gaming was very clear reference 162,0.0,0,1,0,0.0
C163,U865,I284,This is worth discussing further. Reference 163,2026-06-03 10:02:31.779250,this is worth discussing further reference 163,0.0,0,1,0,0.0
C164,U285,I293,The explanation of fashion was very clear. Reference 164,2026-06-21 18:32:31.779264,the explanation of fashion was very clear reference 164,0.0,0,1,0,0.0
C165,U997,I392,Thanks for sharing this information. Reference 165,2026-06-17 09:36:31.779279,thanks for sharing this information reference 165,0.0,0,1,0,0.0
C166,U951,I336,I have a different opinion about technology. Reference 166,2026-07-26 09:51:31.779295,i have a different opinion about technology reference 166,0.0,0,1,0,0.0
C167,U279,I359,I have a different opinion about music. Reference 167,2026-07-10 21:09:31.779312,i have a different opinion about music reference 167,0.0,0,1,0,0.0
C168,U6,I92,I learned something useful about fashion here. Reference 168,2026-08-05 11:58:31.779326,i learned something useful about fashion here reference 168,0.0,0,1,0,0.0
C169,U145,I379,I really enjoyed this post about gaming. Reference 169,2026-06-04 22:04:31.779341,i really enjoyed this post about gaming reference 169,0.0,0,1,0,0.0
C170,U543,I110,The information presented here is useful. Reference 170,2026-07-01 12:58:31.779356,the information presented here is useful reference 170,0.0,0,1,0,0.0
C171,U349,I80,This is worth discussing further. Reference 171,2026-06-07 03:37:31.779370,this is worth discussing further reference 171,0.0,0,1,0,0.0
C172,U332,I397,Thanks for sharing this information. Reference 172,2026-08-07 01:03:31.779384,thanks for sharing this information reference 172,0.0,0,1,0,0.0
C173,U159,I80,Thanks for sharing this information. Reference 173,2026-06-11 11:40:31.779399,thanks for sharing this information reference 173,0.0,0,1,0,0.0
C174,U83,I139,I think this could be improved. Reference 174,2026-06-28 15:02:31.779415,i think this could be improved reference 174,0.0,0,1,0,0.0
C175,U621,I226,Click here for amazing deals,2026-07-23 05:03:31.779429,click here for amazing deals,0.5,1,53,1,72.50000000000001
C176,U773,I262,This is an interesting perspective on music. Reference 176,2026-07-03 16:49:31.779445,this is an interesting perspective on music reference 176,0.0,0,1,0,0.0
C177,U113,I145,Thanks for sharing this information. Reference 177,2026-06-24 20:52:31.779459,thanks for sharing this information reference 177,0.0,0,1,0,0.0
C178,U683,I157,I really enjoyed this post about sports. Reference 178,2026-07-06 20:31:31.779473,i really enjoyed this post about sports reference 178,0.0,0,1,0,0.0
C179,U613,I28,I really enjoyed this post about sports. Reference 179,2026-07-15 09:31:31.779488,i really enjoyed this post about sports reference 179,0.0,0,1,0,0.0
C180,U968,I108,I learned something useful about movies here. Reference 180,2026-07-16 11:40:31.779502,i learned something useful about movies here reference 180,0.0,0,1,0,0.0
C181,U335,I61,I really enjoyed this post about food. Reference 181,2026-06-04 20:06:31.779516,i really enjoyed this post about food reference 181,0.0,0,1,0,0.0
C182,U440,I89,I learned something useful about fashion here. Reference 182,2026-06-24 08:32:31.779531,i learned something useful about fashion here reference 182,0.0,0,1,0,0.0
C183,U720,I117,This was a surprisingly interesting post. Reference 183,2026-08-05 06:31:31.779546,this was a surprisingly interesting post reference 183,0.0,0,1,0,0.0
C184,U406,I441,I really enjoyed this post about fashion. Reference 184,2026-08-10 03:02:31.779560,i really enjoyed this post about fashion reference 184,0.0,0,1,0,0.0
C185,U470,I471,This is an interesting perspective on music. Reference 185,2026-06-20 10:13:31.779574,this is an interesting perspective on music reference 185,0.0,0,1,0,0.0
C186,U439,I293,The information presented here is useful. Reference 186,2026-07-16 11:31:31.779588,the information presented here is useful reference 186,0.0,0,1,0,0.0
C187,U117,I207,I really enjoyed this post about music. Reference 187,2026-07-27 04:31:31.779602,i really enjoyed this post about music reference 187,0.0,0,1,0,0.0
C188,U820,I485,Thanks for sharing this information. Reference 188,2026-06-10 01:30:31.779616,thanks for sharing this information reference 188,0.0,0,1,0,0.0
C189,U941,I185,This is an interesting perspective on fashion. Reference 189,2026-08-02 04:43:31.779630,this is an interesting perspective on fashion reference 189,0.0,0,1,0,0.0
C190,U249,I223,Thanks for sharing this information. Reference 190,2026-06-25 03:22:31.779644,thanks for sharing this information reference 190,0.0,0,1,0,0.0
C191,U80,I202,I have a different opinion about music. Reference 191,2026-07-22 15:57:31.779658,i have a different opinion about music reference 191,0.0,0,1,0,0.0
C192,U341,I398,I learned something useful about gaming here. Reference 192,2026-06-26 08:48:31.779673,i learned something useful about gaming here reference 192,0.0,0,1,0,0.0
C193,U648,I58,This was a surprisingly interesting post. Reference 193,2026-07-11 00:45:31.779687,this was a surprisingly interesting post reference 193,0.0,0,1,0,0.0
C194,U359,I372,I learned something useful about sports here. Reference 194,2026-08-02 11:24:31.779701,i learned something useful about sports here reference 194,0.0,0,1,0,0.0
C195,U149,I131,The explanation of education was very clear. Reference 195,2026-06-18 00:01:31.779715,the explanation of education was very clear reference 195,0.0,0,1,0,0.0
