user_id,account_age_days,followers,following,posts
U120,1111,1379,750,474
U121,146,2848,1160,393
U122,1961,1022,1674,58
U123,663,522,2859,96
U124,1691,569,497,237
U125,1938,3353,1222,999
U126,733,1480,590,790
U127,20,24,1540,670
U128,1488,2754,1253,69
U129,1100,2151,1783,958
U130,1041,4558,1237,912
U131,247,2489,2398,551
U132,1665,1767,366,23
U133,1815,2859,2819,659
U134,471,1641,2826,325
U135,545,3097,2849,336
U136,1812,4602,905,160
U137,1528,861,1697,908
U138,719,3756,2437,545
U139,1982,2748,1646,268
U140,1888,3923,1076,556
U141,314,2454,21,607
U142,28,2,1449,1997
U143,64,2784,2906,90
U144,805,1635,427,115
U145,646,3984,835,501
U146,1679,1526,422,376
U147,1473,738,2818,676
U148,1447,2514,2977,192
U149,768,1132,1581,978
U150,1038,2153,1697,663
U151,1243,4142,1558,279
U152,246,2924,882,798
U153,1326,3962,2119,596
U154,1933,738,1375,397
U155,728,405,2502,233
U156,1968,4181,274,455
U157,1849,727,2792,384
U158,1617,4956,1400,144
U159,15,48,2681,726
U160,977,2948,1502,484
U161,1618,3232,1177,569
U162,1092,2166,1075,186
U163,19,12,2316,1309
U164,1216,742,244,843
U165,687,4856,2645,9
U166,1127,963,2549,913
U167,1306,3311,1552,174
U168,1706,1201,2227,393
U169,975,2691,1227,517
U170,58,3246,1455,339
U171,1701,1398,1866,342
U172,529,1690,520,327
U173,246,1334,1165,804
U174,1123,3496,1820,445
U175,905,2224,100,714
U176,1911,3612,48,126
U177,1504,4278,662,754
U178,1273,3719,1091,660
U179,505,465,838,895
U180,1414,1968,2444,973
U181,377,4295,514,191
U182,1561,3450,833,929
U183,963,143,2115,556
U184,714,1862,824,149
U185,109,2943,212,764
U186,1282,1260,1692,532
U187,1494,1266,1559,143
U188,1468,3594,1406,566
U189,1939,3340,2713,471
U190,1000,1363,2793,784
U191,997,367,677,373
U192,1061,1155,1381,676
U193,119,3729,2755,316
U194,1231,549,2789,869
U195,70,4845,1956,502
U196,29,41,3204,1109
U197,954,2966,1591,547
U198,1306,4495,1627,883
U199,285,4814,1848,921
U200,479,19,2881,798
U201,1295,4982,1038,119
U202,1045,1834,383,65
U203,24,8,2960,889
U204,1832,4958,72,217
U205,1907,4794,1494,929
U206,1663,2162,520,385
U207,434,4623,485,977
U208,738,1678,1903,771
U209,1490,3646,2734,714
U210,1511,4188,1178,85
U211,1131,2058,60,685
U212,746,4554,890,488
U213,1853,2091,2152,72
U214,1604,259,683,438
U215,147,780,277,961
U216,1107,245,398,990
U217,1787,4868,1858,401
U218,653,2824,2976,207
U219,1282,3991,587,75
U220,12,41,1891,1978
U221,835,1339,2155,850
U222,827,1368,2916,435
U223,4,13,4130,1994
U224,195,1368,1029,542
U225,19,13,2106,676
U226,826,147,2241,401
U227,1383,2842,1885,984
U228,2,42,4451,1881
U229,234,3828,52,752
U230,1936,770,2905,95
U231,1427,909,369,900
U232,1749,290,1897,195
U233,696,4198,681,946
U234,90,3132,1038,466
U235,633,4787,2591,405
U236,867,533,2403,46
U237,575,1978,1111,730
U238,8,18,2035,1813
U239,243,2296,1089,350
U240,136,2888,57,573
U241,366,2065,634,867
U242,1306,2776,312,639
U243,85,4831,535,474
U244,57,2135,374,666
U245,555,4988,1040,3
U246,1676,928,2807,363
U247,1804,1541,2863,739
U248,1936,3096,1225,985
U249,1684,4590,2085,714
U250,16,2,3983,874
U251,115,135,2869,537
U252,174,3606,2082,580
U253,1447,76,242,109
U254,1199,2168,2285,111
U255,1523,4728,2805,595
U256,1607,2482,2670,518
U257,721,1771,1985,315
U258,906,3822,1322,437
U259,691,2334,1743,582
U260,1556,2573,2900,446
U261,1883,2407,1640,664
U262,852,1170,768,899
U263,272,2600,1073,229
U264,577,929,1256,6
U265,1375,477,1765,75
U266,33,655,127,881
U267,1659,2561,2031,947
U268,603,4299,856,715
U269,1445,1151,2893,787
U270,11,35,2548,1836
U271,169,4664,2058,90
U272,683,4425,1583,805
U273,1947,4244,2902,259
U274,1726,911,699,10
U275,290,1683,2229,898
U276,42,3723,1629,321
U277,1372,2386,2842,777
U278,940,2048,1128,817
U279,1634,4037,245,946
U280,363,1918,385,459
U281,13,19,2146,857
U282,1349,3401,2975,572
U283,1885,3860,882,229
U284,26,29,1928,1131
U285,34,2908,87,410
U286,603,4237,610,749
U287,1095,2146,2459,296
U288,1893,1328,625,526
U289,829,3772,2479,865
U290,1076,4680,2200,993
U291,694,2202,1258,503
U292,850,3697,2161,947
U293,1092,1980,207,646
U294,608,1212,2611,448
U295,1553,2045,487,231
U296,952,429,2214,550
U297,1494,1130,960,289
U298,1307,2253,2655,834
U299,1575,4622,1668,842
U300,7,32,2759,1164
U301,844,3238,2104,324
U302,873,3766,139,411
U303,124,2684,2812,932
U304,1345,803,1844,283
U305,98,4116,1875,872
U306,579,3215,721,23
U307,844,355,2359,363
U308,425,2275,2198,616
U309,987,3291,994,993
U310,1676,1649,837,683
U311,1513,4461,1357,133
U312,917,3886,1873,127
U313,1159,3066,613,799
U314,1431,4156,2836,407
U315,1822,2871,1646,405
U316,1399,1655,2477,182
U317,1012,2882,1864,950
U318,596,2718,1342,137
U319,231,3517,2370,117
U320,1719,584,2301,537
U321,1655,2132,395,903
U322,1263,484,427,347
U323,1582,964,885,763
U324,1232,1215,673,25
U325,1233,4815,1889,161
U326,206,4390,72,662
U327,695,2213,1502,49
U328,996,4954,1117,361
U329,718,4253,351,476
U330,1116,1734,1393,561
U331,356,1802,1769,141
U332,1019,2272,2492,891
U333,981,732,2089,670
U334,314,3386,438,477
U335,315,3505,2075,769
U336,619,3067,203,502
U337,1017,2171,1711,947
U338,860,3345,2982,55
U339,1924,4905,787,458
U340,1931,3461,2144,55
U341,1529,1833,1211,391
U342,1402,3089,842,313
U343,788,2500,1800,328
U344,16,9,1328,1689
U345,1662,3685,1297,418
U346,1856,2153,1121,78
U347,1341,3201,2871,491
U348,7,28,2023,1878
U349,211,832,953,978
U350,36,4435,784,673
U351,180,3166,156,624
U352,28,40,1821,1961
U353,729,4187,523,897
U354,844,3604,755,386
U355,736,4576,405,532
U356,290,814,943,256
U357,1787,3587,2911,364
U358,1333,4698,2771,158
U359,661,2116,137,736
U360,750,3963,2583,521
U361,581,4043,246,281
U362,1412,1311,2551,4
U363,695,451,2086,109
U364,639,3808,814,75
U365,867,2185,2099,356
U366,70,2091,1710,153
U367,4,18,4074,1551
U368,1927,351,2084,825
U369,1340,655,740,168
U370,24,8,4116,1737
U371,1454,2979,711,634
U372,1611,4235,1855,363
U373,1758,2876,702,292
U374,1424,4899,38,149
U375,1832,2068,2733,113
U376,216,2864,2801,227
U377,1363,4203,64,623
U378,693,4863,415,69
U379,1365,1795,760,148
U380,1520,1772,374,482
U381,230,163,1534,73
U382,742,2353,1050,641
U383,1270,70,948,616
U384,71,4130,1072,803
U385,160,3579,1262,108
U386,201,1468,111,866
U387,28,16,4758,964
U388,846,3014,1050,330
U389,13,23,2196,661
U390,41,1351,225,339
U391,1829,4072,2718,81
U392,1780,2431,719,200
U393,1590,3736,498,877
U394,1591,56,787,16
U395,740,410,1827,981
U396,1139,4355,400,782
U397,364,638,146,883
U398,717,1531,836,727
U399,1530,3304,999,372
U400,964,3052,411,443
U401,1543,624,1306,526
U402,1212,3233,2677,188
U403,1866,140,2862,171
U404,965,4288,373,39
U405,1580,3969,2554,516
U406,1402,930,2779,161
U407,45,502,1459,108
U408,923,3531,320,739
U409,1223,555,2471,251
U410,788,1814,1307,416
U411,1661,3820,1924,39
U412,843,4134,967,477
U413,347,254,757,697
U414,301,3521,1781,239
U415,406,4371,2983,921
U416,1412,4445,398,577
U417,1742,2060,1175,376
U418,1723,2043,2381,146
U419,322,441,714,949
U420,614,4504,2874,889
U421,1397,973,2244,805
U422,90,4078,948,380
U423,739,816,1473,319
U424,1355,3425,20,62
U425,1898,4877,1604,584
U426,1713,894,1399,330
U427,1160,4331,834,218
U428,966,2810,2563,259
U429,4,36,4921,1410
U430,1100,736,2746,521
U431,1152,1923,1786,573
U432,10,10,4555,1979
U433,91,12,169,739
U434,810,902,2040,89
U435,358,4685,1943,357
U436,1663,1300,1650,952
U437,1376,2692,997,541
U438,1702,1228,930,738
U439,1385,4275,530,463
U440,69,1570,1428,955
U441,1279,993,984,38
U442,357,3982,1209,602
U443,943,4559,46,316
U444,1741,3030,805,965
U445,1002,4698,1147,40
U446,1354,327,2406,115
U447,727,1601,1899,40
U448,1912,2006,1782,289
U449,1315,4321,2393,168
U450,121,1714,2838,363
U451,586,1726,1203,356
U452,220,3748,2479,700
U453,36,566,835,761
U454,1084,4531,2729,363
U455,1490,3751,1584,927
U456,111,2413,598,989
U457,1577,304,1995,224
U458,1578,3127,1700,113
U459,6,48,4639,1190
U460,895,4805,457,856
U461,394,4780,1017,326
U462,496,3536,595,233
U463,1277,3912,1445,572
U464,364,1255,2094,989
U465,307,1897,493,242
U466,1377,4836,2249,17
U467,553,927,2458,906
U468,915,2762,31,474
U469,1173,2363,713,687
U470,14,10,1674,886
U471,977,2438,2517,7
U472,58,916,2936,79
U473,1981,3004,2516,570
U474,1591,3563,1463,738
U475,1338,525,2010,99
U476,426,48,896,797
U477,186,1108,2941,800
U478,1183,3165,1572,707
U479,878,3463,2805,440
U480,1657,998,30,303
U481,898,4036,93,774
U482,1712,4675,943,527
U483,1215,1990,1865,793
U484,821,1819,1304,492
U485,237,3620,1617,60
U486,459,994,1690,605
U487,1362,529,600,27
U488,1739,3643,2045,199
U489,416,4454,969,940
U490,722,3909,387,899
U491,945,536,2791,206
U492,484,3354,1269,852
U493,1793,530,1711,944
U494,1046,126,2443,344
U495,613,404,1097,717
U496,750,4177,283,990
U497,1373,4443,1399,495
U498,636,175,1577,11
U499,1354,738,2858,102
U500,1478,788,223,691
U501,1141,1586,2458,588
U502,918,3127,1705,463
U503,621,2730,723,936
U504,1981,4347,2053,865
U505,31,2858,1778,973
U506,1979,927,2251,166
U507,900,99,1719,122
U508,172,3051,115,887
U509,457,1905,2004,317
U510,664,1935,2066,774
U511,1126,2280,1449,553
U512,1423,725,1297,840
U513,1743,3399,1117,318
U514,140,260,2440,7
U515,488,217,909,390
U516,1367,31,419,895
U517,18,34,4710,1598
U518,1000,2144,2966,537
U519,1354,1276,2179,147
U520,1620,759,694,904
U521,1786,3712,2366,695
U522,317,316,1999,914
U523,1776,671,558,352
U524,341,2930,1092,643
U525,953,764,44,445
U526,122,362,912,332
U527,1870,168,1987,957
U528,53,413,2862,516
U529,761,1397,2589,956
U530,181,1722,617,617
U531,449,1283,2923,512
U532,1793,2635,2392,418
U533,961,1807,304,938
U534,784,1404,195,246
U535,666,3724,539,552
U536,50,2968,2924,794
U537,1573,2157,2809,478
U538,1652,3379,949,526
U539,363,11,384,293
U540,866,4015,562,318
U541,1555,4486,1656,14
U542,533,2288,2018,84
U543,159,3824,847,145
U544,920,3938,2050,28
U545,95,1262,270,449
U546,1477,4565,310,919
U547,1356,3476,639,270
U548,621,2003,1638,778
U549,15,38,3064,1705
U550,1329,2370,585,886
U551,1337,3202,1966,687
U552,1257,2222,2362,497
U553,1685,1589,1857,156
U554,1420,1752,1935,620
U555,1304,966,1949,882
U556,363,978,2568,293
U557,1073,291,2854,1
U558,13,21,4474,1576
U559,1810,1018,2748,206
U560,1065,4595,285,693
U561,271,1249,1284,811
U562,155,4075,226,306
U563,1850,1218,1256,184
U564,524,3259,928,428
U565,9,34,2444,1657
U566,1691,4413,1369,946
U567,775,901,384,8
U568,1394,138,1024,776
U569,698,4622,1528,86
U570,1228,3883,2368,119
U571,1271,2484,2003,414
U572,143,4059,312,744
U573,1934,4693,996,840
U574,22,38,3256,1866
U575,1054,3134,1337,69
U576,390,3683,1019,704
U577,604,3242,1122,688
U578,810,2642,2646,159
U579,518,1357,503,644
U580,1667,4124,2454,279
U581,880,1398,1364,641
U582,1397,831,464,601
U583,754,3736,720,143
U584,946,3996,2885,605
U585,1526,1450,314,736
U586,1550,3348,2924,968
U587,1675,2899,971,942
U588,1830,1036,2142,794
U589,357,2873,1483,454
U590,1977,1187,674,12
U591,27,4,1615,694
U592,72,953,2400,326
U593,1867,2555,2421,891
U594,456,1014,30,407
U595,648,1024,345,815
U596,1170,724,60,783
U597,353,4894,150,470
U598,816,973,382,564
U599,523,3620,1702,751
U600,1209,115,1453,670
U601,1711,4107,2646,644
U602,119,3426,359,459
U603,5,17,4769,970
U604,17,23,3591,1969
U605,1991,454,2355,952
U606,65,1485,1808,822
U607,1438,1718,1395,559
U608,920,1310,2783,220
U609,1958,3107,530,783
U610,39,2435,1666,637
U611,711,2641,2209,720
U612,1102,3235,868,293
U613,1633,4155,2721,531
U614,1665,3283,2914,146
U615,944,3050,1472,242
U616,9,12,4632,1964
U617,1279,4778,640,661
U618,1,36,4604,1775
U619,448,997,1556,650
U620,998,2647,1110,509
U621,470,779,1353,803
U622,292,3739,1587,374
U623,666,4018,2516,999
U624,1333,4805,2359,531
U625,1633,1251,1135,554
U626,317,1200,2678,36
U627,773,4458,1932,73
U628,677,1924,1103,425
U629,1028,717,1814,561
U630,857,3723,965,517
U631,457,3620,169,149
U632,805,1745,1595,67
U633,4,13,4718,1751
U634,371,2784,1205,770
U635,643,1242,2411,471
U636,1851,4221,671,812
U637,1495,3629,2510,845
U638,1530,2344,1026,311
U639,237,2675,2503,670
U640,662,2112,2969,12
U641,686,1941,2572,656
U642,1595,246,357,627
U643,16,16,3602,872
U644,1925,373,2378,633
U645,315,158,1117,966
U646,435,4561,1776,800
U647,1214,1022,2841,460
U648,1603,1533,2795,509
U649,1707,4586,1696,114
U650,778,1611,2418,341
U651,799,2506,1876,835
U652,1233,1735,1699,196
U653,1519,4416,271,419
U654,23,9,1801,1441
U655,1154,253,499,12
U656,1292,570,51,678
U657,623,1836,1703,462
U658,163,3148,957,526
U659,102,4504,1438,675
U660,607,4235,2988,466
U661,1259,4371,1570,962
U662,822,4269,104,782
U663,862,1143,2393,822
U664,267,2956,2540,937
U665,28,11,1632,1076
U666,511,2974,973,537
U667,1132,4233,101,653
U668,572,855,1691,989
U669,1881,2504,399,672
U670,1914,4148,263,130
U671,1113,2720,2524,287
U672,1040,1963,2835,345
U673,671,3860,699,253
U674,1980,466,992,83
U675,1958,4254,1362,156
U676,219,3575,892,263
U677,5,32,1979,933
U678,1313,1648,1585,785
U679,130,1392,1413,820
U680,1274,829,429,124
U681,451,3312,1518,628
U682,1756,777,2054,483
U683,548,2149,1559,455
U684,1794,2655,519,183
U685,415,2303,751,591
U686,690,910,2122,13
U687,242,2019,251,493
U688,1266,2395,2030,173
U689,701,173,474,995
U690,526,4805,2452,703
U691,1970,2365,1801,183
U692,23,14,1631,1550
U693,1617,4729,603,744
U694,1280,3814,1469,925
U695,1475,2611,2078,554
U696,426,2682,114,192
U697,46,3201,402,425
U698,158,581,2086,97
U699,1063,251,2289,789
U700,1337,724,768,802
U701,805,4036,2783,200
U702,974,88,865,173
U703,496,2158,1041,845
U704,1253,3586,96,43
U705,1438,3516,417,483
U706,693,3098,1678,148
U707,306,4337,1960,366
U708,1281,1684,445,399
U709,1264,2556,2597,563
U710,1544,2499,1294,773
U711,379,2047,2577,320
U712,167,1583,1001,368
U713,1273,1256,369,921
U714,17,37,2525,1827
U715,992,3642,1837,382
U716,865,1623,1650,169
U717,246,387,128,190
U718,11,19,1136,927
U719,1729,661,1892,488
U720,799,2431,790,693
U721,2,28,4276,1602
U722,921,532,531,783
U723,302,945,2240,969
U724,1718,4593,1860,846
U725,153,3707,2847,414
U726,1778,3253,695,113
U727,917,3998,2179,544
U728,1275,48,2554,780
U729,1286,3000,2206,397
U730,1051,2718,1937,302
U731,1413,656,672,236
U732,1789,4361,607,662
U733,5,44,1888,1680
U734,1850,3547,779,541
U735,242,4568,2493,283
U736,1615,3688,1496,407
U737,117,470,2335,683
U738,450,1734,1386,696
U739,544,712,1663,19
U740,52,2470,1063,807
U741,137,1314,1144,136
U742,391,3737,2186,876
U743,1314,524,458,900
U744,1157,1865,883,866
U745,1544,2530,1438,896
U746,331,932,2994,112
U747,24,2,3005,1367
U748,263,2659,323,566
U749,1065,2266,2007,14
U750,1686,3499,2644,912
U751,1808,3905,1134,698
U752,161,1414,1165,20
U753,1959,1023,236,154
U754,13,47,2950,1007
U755,434,2095,2999,772
U756,217,1090,950,20
U757,302,3200,2640,516
U758,22,29,4302,820
U759,28,13,4756,1813
U760,191,603,1948,159
U761,1241,4165,2972,817
U762,1372,4511,673,109
U763,1129,551,1347,998
U764,1170,2984,877,704
U765,48,441,749,350
U766,212,1216,2538,146
U767,860,1661,1146,763
U768,505,2820,1336,971
U769,1878,1029,1151,813
U770,190,2458,207,260
U771,689,2020,408,710
U772,1612,2135,2181,75
U773,1924,4707,846,505
U774,529,147,2107,771
U775,1002,3706,1895,254
U776,1683,2767,1910,563
U777,17,4,1430,1292
U778,1355,4686,1382,832
U779,1986,2013,2106,917
U780,1127,713,2318,356
U781,13,36,3078,1397
U782,1348,2988,650,792
U783,1366,2669,1871,809
U784,1235,695,1861,364
U785,217,1629,1697,985
U786,577,1441,885,618
U787,443,1375,1253,903
U788,192,1984,279,632
U789,935,3481,2024,618
U790,1782,214,591,556
U791,870,1729,1652,596
U792,1903,2307,884,441
U793,1586,699,2020,519
U794,1123,1432,2011,672
U795,1813,1181,1505,655
U796,973,1459,2549,888
U797,925,4270,2371,21
U798,1135,3662,1763,933
U799,1013,2362,1948,371
U800,1910,4958,393,908
U801,474,434,2218,178
U802,658,904,2547,327
U803,627,3072,2346,593
U804,1717,582,2085,954
U805,72,3679,186,529
U806,1663,1527,207,610
U807,1630,4958,1547,22
U808,1165,3147,2899,98
U809,1197,4540,646,679
U810,1139,4693,353,936
U811,1347,4676,620,704
U812,272,1864,2618,960
U813,61,2334,541,154
U814,412,1101,1911,884
U815,243,2801,2270,79
U816,1779,2685,2661,782
U817,1976,3058,2737,58
U818,1849,4986,456,66
U819,1974,3980,2001,44
U820,1150,1587,1021,227
U821,803,1824,2658,379
U822,1231,4412,788,504
U823,297,3667,17,920
U824,537,485,1330,164
U825,9,21,4923,1478
U826,17,10,3612,1567
U827,877,2934,268,283
U828,23,10,3222,522
U829,958,2277,1024,520
U830,642,697,622,260
U831,1019,3023,2423,758
U832,1840,2601,2706,524
U833,1960,3968,1162,575
U834,1162,1920,1022,533
U835,699,4374,1293,924
U836,1155,1539,1768,571
U837,276,3721,1570,131
U838,382,2253,1949,930
U839,1719,3079,2702,227
U840,730,3557,274,372
U841,1539,655,2268,572
U842,1993,3000,1397,876
U843,486,2782,1259,982
U844,1184,597,485,798
U845,1015,4089,2213,760
U846,1271,199,1450,981
U847,1728,1725,2603,41
U848,336,4443,1347,75
U849,1,7,3803,511
U850,302,1684,2919,783
U851,1912,940,298,724
U852,922,1099,492,936
U853,277,165,1080,935
U854,483,4229,2058,968
U855,1812,864,649,191
U856,1632,451,1954,815
U857,1859,4638,2284,313
U858,1682,958,2029,460
U859,1454,4656,402,867
U860,1817,4950,2267,115
U861,1790,4751,2276,407
U862,1496,3684,1387,888
U863,587,2607,151,612
U864,530,849,2759,547
U865,1712,3927,1540,596
U866,1934,290,433,856
U867,6,44,1939,1672
U868,691,1977,92,622
U869,976,2956,1459,275
U870,1766,2341,989,173
U871,1380,3799,2820,636
U872,1428,4738,1541,787
U873,972,4503,1153,934
U874,1490,2733,2993,465
U875,315,274,2377,673
U876,1429,4926,1772,955
U877,363,2279,50,708
U878,97,997,1809,514
U879,1926,4018,1665,127
U880,1308,4800,2534,62
U881,910,2489,1703,268
U882,8,33,4030,1228
U883,1522,670,1358,304
U884,1329,3950,1996,684
U885,1982,2054,1938,324
U886,1088,986,491,728
U887,509,3146,1041,301
U888,372,1457,2389,438
U889,1641,536,1906,659
U890,21,21,1234,1536
U891,261,1583,1821,505
U892,1722,4284,141,823
U893,1508,2405,2597,772
U894,1459,588,2911,492
U895,223,2017,1195,347
U896,980,1802,1120,934
U897,1315,2271,1946,573
U898,809,4367,739,283
U899,1701,3461,371,449
U900,470,2150,1654,753
U901,896,151,1324,432
U902,778,4806,1007,49
U903,1355,4986,1223,136
U904,584,4509,901,865
U905,631,350,1978,704
U906,15,9,3207,830
U907,1397,4922,562,529
U908,885,1822,2876,571
U909,1988,192,1584,397
U910,1757,1527,916,333
U911,156,3639,10,168
U912,1673,28,593,456
U913,17,41,2693,936
U914,1982,3382,2659,103
U915,1017,3331,529,153
U916,888,183,1376,670
U917,1034,736,1720,852
U918,879,4043,1357,990
U919,1726,2696,429,594
U920,514,1784,2469,936
U921,1137,3818,341,378
U922,1808,2712,2098,935
U923,1823,3878,114,202
U924,479,1852,1876,973
U925,1319,919,219,563
U926,1171,780,2511,667
U927,658,3595,1638,678
U928,416,3431,2353,258
U929,1134,4018,277,419
U930,264,1866,2008,986
U931,1410,1246,583,49
U932,1180,4328,2978,279
U933,1461,1829,2334,438
U934,1160,2668,384,73
U935,1687,3269,1899,800
U936,1504,2252,1189,172
U937,876,3144,2080,360
U938,1128,2051,1151,612
U939,1433,4010,1953,679
U940,1343,2990,16,196
U941,450,1601,842,193
U942,588,3229,1820,669
U943,1255,923,2021,419
U944,26,38,4904,618
U945,155,4922,2938,806
U946,605,939,1473,204
U947,1539,4938,1064,388
U948,1678,1910,1467,837
U949,955,1409,452,579
U950,104,4662,1188,430
U951,392,1267,1851,262
U952,1880,920,254,542
U953,1991,2179,2182,549
U954,199,133,2703,708
U955,815,2426,806,77
U956,88,1946,2166,736
U957,1037,1311,77,69
U958,1218,2362,1942,674
U959,394,4926,1412,343
U960,976,1387,1449,109
U961,1616,4867,350,942
U962,412,1566,309,139
U963,388,4941,1532,385
U964,1657,1313,2540,909
U965,1164,2196,1005,435
U966,538,3180,2161,214
U967,1814,3745,2819,787
U968,194,1008,2577,284
U969,546,666,2670,164
U970,1939,3740,2056,64
U971,1144,1150,1899,267
U972,1875,1718,2303,661
U973,1811,1520,485,517
U974,1006,1217,1053,937
U975,587,892,2204,666
U976,1357,2677,1781,820
U977,893,4687,704,762
U978,1281,1620,1249,407
U979,428,1956,724,704
U980,9,13,3257,1240
U981,1003,3812,91,604
U982,1740,3832,2829,903
U983,394,4268,2568,329
U984,1893,125,2998,849
U985,366,4986,2794,864
U986,869,2500,2894,13
U987,972,1734,2344,720
U988,1167,2537,31,349
U989,1779,4788,2963,810
U990,349,4231,286,976
U991,1257,3762,705,286
U992,86,3244,28,370
U993,293,2851,122,488
U994,1380,551,2704,579
U995,1118,3373,34,549
U996,25,36,2401,1711
U997,1797,4753,2245,128
U998,230,3208,266,676
U999,576,2251,2760,104
BOT_001,27,0,730,
BOT_002,10,1,726,
BOT_003,14,1,720,
BOT_004,21,0,588,
BOT_005,29,2,928,
BOT_006,9,1,702,
BOT_007,13,0,541,
BOT_008,25,1,816,
BOT_009,17,1,606,
BOT_010,6,2,557,
BOT_011,2,2,518,
BOT_012,1,0,968,
BOT_013,17,0,767,
BOT_014,19,2,753,
BOT_015,11,1,888,
BOT_016,4,1,888,
BOT_017,17,3,943,
BOT_018,13,2,805,
BOT_019,13,3,939,
BOT_020,23,0,519,
